temperature,humidity,rain_label
23.72033759818312,89.59264065174611,rain
27.879734159310487,46.48970403534824,no rain
25.06908440179109,83.07284289257146,no rain
23.622079574922424,74.36775792086564,rain
20.591369983472617,96.85882241307948,no rain
26.147352826666403,48.21726041042326,no rain
20.939680281567316,40.79944443606025,no rain
32.29432501955199,51.848471069719,no rain
34.09156901252573,48.05711447385431,no rain
19.58603797064444,82.9782932331459,rain
29.79312595206661,81.31765126927587,no rain
23.22237299382261,76.87794305987336,rain
24.201114027348307,45.14653801209415,no rain
33.139915957316525,90.32647652073628,no rain
11.775901454947174,96.96000891012494,no rain
12.178232492538518,67.21240726760512,no rain
10.505459936008142,75.45609114405701,rain
30.81549613869845,65.04844693143934,no rain
29.453918773746263,49.84904005718227,no rain
31.75030370617048,50.03033227976229,no rain
34.4654585558191,51.93943659144392,no rain
29.97896410541809,43.359500291490775,no rain
21.5369840563233,93.13465428405225,rain
29.513229407161383,90.087869383268,no rain
12.956860646723332,62.31475529231857,no rain
25.99802553318809,55.70759887921193,no rain
13.58383218522616,95.73548495829692,rain
33.6167229262396,45.56614284629671,no rain
23.04620804375179,68.74793716267612,no rain
20.36654849976309,33.814870887951386,no rain
16.613890302615673,43.38415379122143,no rain
29.355842235855416,72.28188533516568,no rain
21.403758305413717,76.35285569909188,no rain
24.21084872171621,70.66970730712677,rain
10.46974501090888,90.87209911995028,rain
25.44088742689693,99.53836545759228,no rain
25.302393068060532,83.47032895070379,no rain
25.423349921868923,62.55642489006312,no rain
33.59370196286561,88.37542686178719,no rain
27.045507477587087,38.42711759162012,no rain
18.98769751434465,77.82894875121508,no rain
20.925798844983536,66.28364512174038,no rain
27.44077989818162,42.46461203790029,no rain
11.505636790731746,98.10535320961498,rain
26.669167886141693,53.69061938451233,no rain
26.765946740453984,73.07963841743684,no rain
15.259564026846022,91.50159662674665,no rain
13.223157441371333,65.46821907403745,no rain
17.885708773104597,38.05964951235024,no rain
19.092769273565565,87.3117359043103,rain
24.25491926044699,54.72496369411604,no rain
20.96503783655801,98.81468082242873,no rain
34.70934595148066,91.86778125111906,no rain
12.551120268700702,89.741453334427,rain
15.221918902370868,54.93772242765296,no rain
14.032737947124907,82.9990844466346,no rain
26.32770813663496,99.04303441011122,no rain
16.332290063494554,66.84251283659319,no rain
21.657769321407656,62.95125084686621,no rain
16.11063980004007,31.02660746804496,no rain
13.974239591137993,79.01426381144555,no rain
12.759378529107629,90.09342980212978,no rain
26.408239736631835,47.322003025728094,no rain
13.454573783715343,52.05172039802598,no rain
14.914559042001336,65.04739149283095,no rain
19.2181292665241,35.04561101530618,no rain
30.52483074619838,36.27497332691159,no rain
12.427531894826531,59.47775312216565,no rain
30.9486226874701,48.28532668923951,no rain
12.402460197349075,58.4226111772938,no rain
34.411486625334895,61.80704086699566,no rain
21.71628004119254,98.33913777173828,no rain
34.41902720475843,96.0981874071986,no rain
25.12113799362615,39.78111060778362,no rain
28.481589484957546,91.78101816125724,no rain
10.979694806358015,35.6144663631055,no rain
17.07017406441024,65.53448288024279,no rain
13.004914030329225,41.47369300768358,no rain
17.403504938053622,55.61245017498538,no rain
12.968192973856102,82.03381579540653,rain
17.9495794848494,59.715383554979496,no rain
20.35657486286675,86.48659012999336,no rain
11.603687408719608,80.31709977262793,rain
27.31180298425049,95.99876123477114,no rain
24.16503635516438,67.39092144101141,no rain
16.634737273486135,86.15035677914567,no rain
23.08120133666749,52.60349744359363,no rain
12.348512768961042,54.20220915629052,no rain
24.398662388904484,58.03573245070538,no rain
33.23240493940536,58.76410140086623,no rain
17.96422381128309,37.227725446618216,no rain
26.68525949909204,66.33692575323045,no rain
13.294946560109803,36.77622534883179,no rain
27.90818010296414,92.28334950738348,no rain
17.235152323680026,34.32913482563052,no rain
14.57978405017792,61.47861012165161,no rain
24.66282337025208,49.92858464733013,no rain
10.502688654687338,40.840859095813535,no rain
30.72350073043408,84.86856835895486,no rain
10.117386904813676,80.0452679243668,no rain
26.94541341990575,40.21635231270592,no rain
16.750199329804122,74.2935948774417,no rain
28.379850553064877,85.47886171313122,no rain
34.05471362793595,84.13325542589209,no rain
16.21882858799895,36.45957183643531,no rain
24.40393336044592,77.98589033320434,rain
24.80104828179597,80.12167446185039,rain
24.306297644771835,90.35163869294192,no rain
15.577040816015458,65.56310372054907,no rain
33.81872528792462,62.27658002123501,no rain
21.178134465440685,97.5581427443629,no rain
31.160216811778195,85.75585790171274,no rain
27.48698188293761,69.11116935645424,no rain
17.43592377137834,53.14319499178957,no rain
30.34494549256193,89.16665972024575,no rain
19.912643521174616,61.88054726250833,no rain
32.027579927779044,36.487963451071245,no rain
24.531821815896468,61.84329908994079,no rain
32.043384046371315,91.03778773051025,no rain
27.313289751944147,61.379750282611184,no rain
28.13135699549101,31.00444034182451,no rain
22.53310954816756,72.80397267415287,rain
33.9020908680806,99.70810023879793,no rain
26.099754980740936,87.20740088283583,no rain
20.596376213954493,73.20665626327036,rain
25.15983035319811,94.00792207585197,no rain
10.479829957733338,86.95071771557434,no rain
17.539370416863733,64.90475469180282,no rain
26.504338437317127,71.38541997851672,no rain
17.2519401802611,81.1904966442114,rain
25.45038572497104,89.24983147852053,no rain
20.719217523644154,34.0723481663698,no rain
13.386851605561256,84.23627000128057,rain
17.45705814890077,61.32524079847414,no rain
